Timestamp,Title,Abstract,Status,Submission Date,Target Journal,Priority,Deadline,IRB Status,Funding,Docs Link,Coauthors,Keywords,Last Activity
,Religious Discrimination in Public Services,"Using large-scale field experiments, we explore the depth, breadth, and drivers of religious discrimination across various sectors in the United States.",Data collected,,,High,,,,,"Hussain Hadah","discrimination, religion, field experiment",
,Backdoor Admissions? Socioeconomic Bias in College Recruiting,"Do the rich receive preferential treatment in college admissions? Is there still a back door that the affluent can use to get their foot into higher education? This project will audit college athletics departments to test whether families perceived as high-income receive preferential treatment in admissions-related communications compared to low-income families.",Research design,,APSR,High,,Pending,,,"Hans Hassell","college admissions, discrimination, field experiment",
,Forever Foreign? Differential Linguistic Assimilation Standards for Asian Immigrants,"Do Americans hold immigrant groups to different assimilation standards? Using conjoint experiments with 2,999 Americans who evaluated which of 59,980 immigrant profiles was 'most assimilated,' we find that linguistic assimilation matters significantly more for Asian immigrants than for other groups.",Writing,,APSR,High,,Approved,,,"Maya Lu, Cecilia Hyunjung Mo","immigration, assimilation, Asian Americans, conjoint",
,Measuring and Understanding Anti-Asian Bias in Immigration Preferences Worldwide,"How large is anti-Asian bias in public preferences over immigrants, how does it compare to other commonly studied attributes, and what drives these biases? We explore these questions using a large forced-choice conjoint experiment fielded in 22 democracies (N≈46,549).",Data analyzed,,JOP,High,,Approved,,,"Maya Lu, Cecilia Hyunjung Mo","immigration, anti-Asian bias, conjoint, cross-national",
,When Access Isn't Equal: Racial Discrimination and Resource Need in U.S. Schools,,Idea,,,Medium,,Not needed,,,"S. Michael Gaddis, Steven Pfaff","education, discrimination, schools",
,Discrimination Against Black and Hispanic Americans is Highest in Hiring and Housing Contexts,,Writing,,,Medium,,Not needed,,,"S. Michael Gaddis, Edvard Nergård Larsen","discrimination, hiring, housing, meta-analysis",
,AI's Democratizing Potential in Higher Education,,Idea,,,Medium,,Not needed,,,"","AI, higher education, democratization",
,Accounting for Time and Space in Empirical Studies,,Idea,,,Low,,Not needed,,,"","methods, time, space, empirical",
,Micro-Inequities Against Asian Americans: Evidence from a Large-Scale Field Experiment,,Data collected,,,High,,Approved,,,"Cecilia Hyunjung Mo","Asian Americans, discrimination, field experiment",
,Alphabetical Author Order Disadvantages Scholars Differentially Across Country of Origins,,Data analyzed,,,Medium,,Not needed,,,"Kiyoteru Tsutsui","authorship, alphabetical order, academia",
,What Does the Public Want in College Admissions?,,Research design,,,Medium,,Approved,,,"Will Elliot, Jayanth Uppaluri","college admissions, public opinion, survey",
,Do Museums Highlighting the Experiences of Minorities Persuade Visitors?,,Data collected,,,Medium,,Approved,,,"Cecilia Hyunjung Mo, Surili Sheth","museums, Asian Americans, persuasion",
,Beyond Incomplete Recognition: How University Statements Can Be Meaningful for Students,,Writing,,,Medium,,Approved,,,"Maya Lu, Cecilia Hyunjung Mo, Volha Chykina","universities, statements, students",
,Measuring Anti-Asian Discrimination around the Globe,,Data analyzed,,,High,,Approved,,,"Maya Lu, Cecilia Hyunjung Mo","discrimination, Asian, global, field experiment",
,Attention Checks Measure More Than Attention,,Writing,,,Medium,,Not needed,,,"Bart Bonikowski","attention checks, surveys, methods",
,Shifting Paradigms: Nine Decades of Identity and Discrimination Scholarship,,Data analyzed,,,Low,,Not needed,,,"S. Michael Gaddis","discrimination, identity, scholarship, review",
,Attention as a Design Parameter in Survey Experiments,,Idea,,,Low,,Not needed,,,"","attention, survey experiments, methods",
,Stop Designing for Universal Attentiveness,,Idea,,,Low,,Not needed,,,"","attention, survey design, methods",
,When the Model Changes: A Simple Drift Audit for LLM-Assisted Research,,Idea,,,Medium,,Not needed,,,"","LLM, AI, drift, replication",
